Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2,,,,1,,1,3,3,4,5,1,2,8,12,15,18,11,6,8,3,1,,,,,2,,3,,,,,,,,,,
3,5,7,10,20,30,26,29,34,31,28,31,35,31,42,28,39,44,49,48,60,52,50,53,44,51,42,27,45,33,23,17,11,7,1,,2,,
4,70,126,200,209,233,235,232,243,204,241,203,207,204,192,162,151,155,154,112,109,113,105,72,57,50,48,41,33,34,22,11,9,4,3,3,,,
5,803,1047,1101,1010,807,730,634,509,406,347,344,294,259,221,184,147,121,116,75,68,60,55,36,22,22,14,15,10,4,5,4,2,1,2,,,,1
6,3494,3484,2456,1731,1141,890,697,547,429,375,313,289,224,163,153,114,88,49,35,13,12,8,,1,,,,,,,,,,,,,,
7,8442,6149,3526,2084,1400,951,785,549,436,322,250,164,134,97,82,52,29,10,10,,1,,,,,,,,,,,,,,,,,
8,14716,8475,4254,2096,1061,559,280,175,77,31,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,18195,8443,3107,1022,316,92,29,17,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16884,5745,1819,456,103,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13557,3894,956,225,73,16,5,7,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10161,2630,591,110,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7314,1652,293,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4850,990,222,26,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3114,628,89,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
