Letters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
2,,,,,,1,1,3,6,6,3,5,3,2,5,6,17,19,14,12,9,5,2,,,,2,,1,3,1,,1,,,,,,,,,,
3,1,4,12,13,21,25,42,28,31,28,33,36,24,40,31,49,34,38,52,63,42,63,62,58,51,61,60,38,44,47,57,36,35,31,17,13,11,5,1,2,,,1
4,59,124,176,218,200,236,288,277,236,250,264,267,280,243,252,217,188,217,188,163,177,143,142,121,104,105,69,57,65,61,50,47,42,25,17,18,21,6,5,1,1,,
5,817,1166,1259,1185,1060,969,863,730,698,543,483,465,402,332,321,250,230,183,189,156,105,89,94,85,70,43,23,31,16,16,8,12,6,8,3,3,,,,2,,,
6,3987,4295,3394,2467,1718,1343,1012,839,646,576,439,448,368,335,259,213,172,137,124,65,49,30,21,11,5,3,1,,,,,,,,,,,,,,,,
7,10087,8060,4944,2985,1885,1377,1082,848,670,542,411,297,279,226,155,137,94,74,48,22,18,7,1,2,2,1,,,,,,,,,,,,,,,,,
8,17857,11273,5787,3027,1663,947,613,368,237,162,69,57,21,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23293,11891,4760,1909,646,237,85,36,20,7,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23262,9374,3164,1068,244,62,17,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19335,6924,1963,592,119,47,16,10,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14712,4635,1267,330,61,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10281,3214,674,146,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6787,2003,488,91,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4273,1358,255,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
